name,intake,from_new,mean_travel,entry_year,pan,fill,city_mean_travel,config
Longhill High School,150,7.588847086922805,28.982234401059014,2028,150,1,31.339864406022386,"B. Shrink only: Ovingdean, PAN 150"
Patcham High School,225,8.191720776249976,32.83377822941693,2028,225,1,31.339864406022386,"B. Shrink only: Ovingdean, PAN 150"
Peacehaven Community School,163.1060852676027,136.69813928171837,23.15328709807777,2028,180,0.9061449181533484,31.339864406022386,"B. Shrink only: Ovingdean, PAN 150"
Portslade Aldridge Community Academy,220.00000000000003,4.710013330647523,25.637272826119254,2028,220,1.0000000000000002,31.339864406022386,"B. Shrink only: Ovingdean, PAN 150"
Varndean School,270,8.714412591814709,33.18590768020723,2028,270,1,31.339864406022386,"B. Shrink only: Ovingdean, PAN 150"
Blatchington Mill School,330,7.751529667793424,30.818873565037553,2030,330,1,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Brighton Aldridge Community Academy,120.37310903675436,4.690200354653381,34.775218501695704,2030,180,0.6687394946486354,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Cardinal Newman Catholic School,123.74047951237964,6.319658781912764,32.51139950334884,2030,360,0.34372355420105455,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Dorothy Stringer School,330,10.867122820497839,34.5658833482851,2030,330,1,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Hove Park School,180,3.789451767814552,27.410979829747664,2030,180,1,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
King's School,100.59082134013802,5.61851517000901,45.23803195850122,2030,165,0.609641341455382,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Longhill High School,133.2598836374654,6.817635337456616,28.5162723824335,2030,150,0.8883992242497694,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Patcham High School,213.56631061165356,8.303361004741353,32.99605001981229,2030,225,0.9491836027184603,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Peacehaven Community School,147.34235532718944,124.94107876560483,22.503522973043104,2030,180,0.818568640706608,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Portslade Aldridge Community Academy,220,5.268397370009877,26.37857600064139,2030,220,1,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Varndean School,270,9.48010565202204,33.58713230015265,2030,270,1,31.493273177641292,"B. Shrink only: Ovingdean, PAN 150"
Blatchington Mill School,330.00000000000006,7.7891882376539625,31.086269466917326,2033,330,1.0000000000000002,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Brighton Aldridge Community Academy,113.08421665329071,4.260991615998764,34.492214942744624,2033,180,0.6282456480738373,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Cardinal Newman Catholic School,113.88435155677034,5.741833201481201,32.5788494321495,2033,360,0.31634542099102875,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Dorothy Stringer School,315.247702125546,10.155336952342214,34.485687992514926,2033,330,0.9552960670471091,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Hove Park School,180.00000000000003,3.8138897818817354,27.67875370645579,2033,180,1.0000000000000002,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
King's School,91.96885960564684,5.106164794200236,45.53660139755312,2033,165,0.5573870279130112,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Longhill High School,125.67865198546593,6.183645918512664,28.297607855663113,2033,150,0.8378576799031062,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Patcham High School,201.35286962372578,7.544698719019998,32.59144263890784,2033,225,0.8949016427721146,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Peacehaven Community School,135.05453036666842,114.2159883524185,22.539428826495357,2033,180,0.7503029464814912,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Portslade Aldridge Community Academy,218.63664030187766,5.300655574370478,26.779449981780513,2033,220,0.9938029104630803,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Varndean School,270.00000000000006,9.281229323432393,33.544899992388224,2033,270,1.0000000000000002,31.49818955936947,"B. Shrink only: Ovingdean, PAN 150"
Blatchington Mill School,314.35835323046035,6.979758806601113,31.095893672393725,2035,330,0.9526010703953344,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Brighton Aldridge Community Academy,106.44691872061179,3.7340064797104064,34.321662995213416,2035,180,0.5913717706700655,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Cardinal Newman Catholic School,106.37212840157078,5.03190782341236,32.52208662632454,2035,360,0.2954781344488077,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Dorothy Stringer School,294.7041479220716,8.898923359612473,34.42014692783895,2035,330,0.8930428724911261,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Hove Park School,180,3.601001396297729,27.769390636059295,2035,180,1,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
King's School,86.00779936468362,4.475382395321494,45.42191069320757,2035,165,0.5212593900889917,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Longhill High School,118.54818171312436,5.414827278118782,28.171058704494573,2035,150,0.7903212114208291,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Patcham High School,189.92020706576534,6.612101549223304,32.36009654576847,2035,225,0.8440898091811793,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Peacehaven Community School,119.97510923678665,100.36673635137487,22.947296285101693,2035,180,0.6665283846488147,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Portslade Aldridge Community Academy,206.88974538968344,4.645392421913203,26.567461379427012,2035,220,0.9404079335894702,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Varndean School,270,8.718472126149758,33.54626354410181,2035,270,1,31.471455772845005,"B. Shrink only: Ovingdean, PAN 150"
Blatchington Mill School,329.99999999999994,6.429393717787797,30.00791317930781,2026,330,0.9999999999999998,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Brighton Aldridge Community Academy,171.2270756185768,6.673156721869921,36.97876444168883,2026,180,0.9512615312143156,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Cardinal Newman Catholic School,200.5191902595799,8.968814108391928,32.51436648543955,2026,360,0.5569977507210553,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Dorothy Stringer School,330,9.46078979664572,33.51681363172649,2026,330,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Hove Park School,180,3.1235420412385455,26.56003222222319,2026,180,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
King's School,165,7.887658754091486,44.667668816864506,2026,165,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Longhill High School,210,5.495312109392764,28.854589190332753,2026,210,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Patcham High School,225,7.368336433170934,31.997185581868223,2026,225,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Peacehaven Community School,180,147.23246708629964,24.0173728097277,2026,180,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Portslade Aldridge Community Academy,220,4.093396408059718,24.643191029674032,2026,220,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Varndean School,270,8.368683485353419,32.86075611171498,2026,270,1,31.365621850956998,"C. Move only: Elm Grove, PAN 210"
Blatchington Mill School,330,7.38649297122279,30.64404460238833,2028,330,1,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Brighton Aldridge Community Academy,130.41383171767126,5.268230200610705,35.9705335853562,2028,180,0.7245212873203959,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Cardinal Newman Catholic School,142.4253046452504,7.082190074866878,32.76017697539927,2028,360,0.3956258462368067,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Dorothy Stringer School,330,10.914276616108406,34.540376914602035,2028,330,1,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Hove Park School,180,3.6059015880090715,27.21875503007452,2028,180,1,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
King's School,117.14574596658915,6.2823226492274165,45.234402176112226,2028,165,0.7099742179793281,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Longhill High School,166.1840967943623,4.609203613272817,28.669451361011447,2028,210,0.7913528418779157,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
Patcham High School,224.99999999999997,8.66100576211212,33.50349613199871,2028,225,0.9999999999999999,31.630069234444555,"C. Move only: Elm Grove, PAN 210"
