id,time_varndean,time_ds,time_longhill,time_blatchington,time_hove_park,time_patcham,time_cardinal_n,time_baca,time_paca,time_kings,time_peacehaven,time_seahaven,time_priory_lewes,time_seaford_head,time_elm_grove,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,long,lat,lsoa21,oslaua,osward
BN2 8DX,54,62,21,67,66,69,59,65,71,80,31,45,92,84,50,longhill,peacehaven,seahaven,21,31,45,92,21,61.9,-0.033422,50.799094,E01021031,E07000063,E05011585
BN2 8DY,54,62,47,67,66,69,59,65,71,80,31,45,92,84,54,peacehaven,seahaven,longhill,31,45,47,92,31,63.7,-0.031188,50.798561,E01021031,E07000063,E05011585
BN2 8EA,54,62,21,67,66,64,49,59,71,80,31,45,82,84,50,longhill,peacehaven,seahaven,21,31,45,84,21,59.6,-0.034868,50.800827,E01021030,E07000063,E05011585
BN2 8EB,54,62,21,67,66,69,59,65,71,80,31,45,92,84,50,longhill,peacehaven,seahaven,21,31,45,92,21,61.9,-0.033333,50.800558,E01021030,E07000063,E05011585
BN2 8ED,54,62,21,67,66,69,59,65,71,80,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,62.3,-0.032342,50.80082,E01021030,E07000063,E05011585
BN2 8EE,54,62,21,67,66,64,49,59,71,80,31,45,82,84,50,longhill,peacehaven,seahaven,21,31,45,84,21,59.6,-0.036307,50.800366,E01021030,E07000063,E05011585
BN2 8EF,54,62,21,67,66,69,59,65,71,80,31,45,92,84,50,longhill,peacehaven,seahaven,21,31,45,92,21,61.9,-0.033741,50.800286,E01021030,E07000063,E05011585
BN2 8EG,54,62,21,67,66,69,59,65,71,80,31,45,92,84,50,longhill,peacehaven,seahaven,21,31,45,92,21,61.9,-0.032667,50.800187,E01021030,E07000063,E05011585
BN2 8EH,62,71,21,73,71,75,68,73,76,86,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,66.7,-0.029299,50.800958,E01021027,E07000063,E05011585
BN2 8EJ,54,62,21,67,66,69,59,65,71,80,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,62.3,-0.030738,50.801171,E01021030,E07000063,E05011585
BN2 8EL,62,71,21,73,71,75,68,73,76,86,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,66.7,-0.030125,50.801565,E01021030,E07000063,E05011585
BN2 8EN,62,71,47,73,71,75,68,73,76,86,37,45,92,84,54,peacehaven,seahaven,longhill,37,45,47,92,37,68.6,-0.028963,50.801879,E01021030,E07000063,E05011585
BN2 8EP,54,62,21,67,66,69,59,65,71,80,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,62.3,-0.030338,50.801911,E01021030,E07000063,E05011585
BN2 8EQ,62,71,21,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,21,49,57,92,21,68.4,-0.029996,50.802292,E01021030,E07000063,E05011585
BN2 8ER,54,62,21,67,66,64,49,59,71,80,31,45,82,84,50,longhill,peacehaven,seahaven,21,31,45,84,21,59.6,-0.036458,50.800809,E01021030,E07000063,E05011585
BN2 8EZ,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.038501,50.806248,E01016958,E06000043,E05015412
BN2 8FA,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.0412,50.80722,E01016958,E06000043,E05015412
BN2 8FB,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.040327,50.806369,E01016958,E06000043,E05015412
BN2 8FD,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.043689,50.808467,E01016958,E06000043,E05015412
BN2 8FE,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.044052,50.808257,E01016958,E06000043,E05015412
BN2 8FF,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.043052,50.809769,E01016958,E06000043,E05015412
BN2 8FG,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.042887,50.808975,E01016958,E06000043,E05015412
BN2 8FH,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.043889,50.810467,E01016958,E06000043,E05015412
BN2 8FJ,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.041004,50.808521,E01016958,E06000043,E05015412
BN2 8FL,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.037939,50.809495,E01016956,E06000043,E05015412
BN2 8FN,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.038739,50.810389,E01016956,E06000043,E05015412
BN2 8FP,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.040918,50.811253,E01016958,E06000043,E05015412
BN2 8FQ,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.040446,50.810985,E01016958,E06000043,E05015412
BN2 8FR,76,79,47,83,79,78,68,77,85,91,49,57,102,84,54,longhill,peacehaven,seahaven,47,49,57,102,47,75.4,-0.039223,50.811054,E01016958,E06000043,E05015412
BN2 8FS,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.039126,50.810648,E01016958,E06000043,E05015412
BN2 8FT,76,79,47,83,79,78,68,77,85,91,49,57,102,84,54,longhill,peacehaven,seahaven,47,49,57,102,47,75.4,-0.036783,50.810662,E01016958,E06000043,E05015412
BN2 8FU,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.041625,50.807911,E01016958,E06000043,E05015412
BN2 8FX,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.03835,50.808161,E01016958,E06000043,E05015412
